biomarker,terminology,readcode,readterm
LH,read2,4433.,Luteinising hormone
LH,read2,443e.,Serum LH level
LH,ctv3,4433.,Luteinising hormone (& serum level)
LH,ctv3,XM0lv,Serum LH level
