terminology,readcode,readterm
read2,4443.,Human placental lactogen level
read2,4443.,Human placental lactogen
ctv3,4443.,Placental lactogen (& level)
ctv3,XE25L,Human placental lactogen level
ctv3,X80Fp,Human placental lactogen
