biomarker,terminology,readcode,readterm
HDL,read2,44P5.,Serum HDL cholesterol level
HDL,read2,44PB.,Serum fasting HDL cholesterol level
HDL,ctv3,44P5.,Serum HDL cholesterol level
HDL,ctv3,44PB.,Serum fasting HDL cholesterol level
